id,lon,lat,depth,strike1,dip1,rake1,mag,utm_e,utm_n,strike2,dip2,zz_stress,xy_stress,xz_stress,yz_stress,xx_stress,yy_stress,tau_dd_1,tau_ss_1,sig_nn_1,tau_dd_2,tau_ss_2,sig_nn_2
0,103.387866,31.007381,10.722,94,86,117,4.1,346098.1715309705,3431535.502851082,274,4,51.18380908820978,0.3411257562719366,12.67509460842973,-8.112086738874442,42.33027255290524,43.204280062808024,6.5857467334091115,-1.1978012963494942,42.282939045298924,6.585746733409113,13.15858854629292,52.14837274453371
1,103.385783,31.178056,19.873,330,33,-163,4.5,346174.62631940463,3450457.2667322536,150,57,66.58576908483427,1.826575856610516,14.763866256240235,-9.576754677511374,47.21744926120552,45.21917969359434,-11.605436752553217,13.17285201743266,53.85546927905348,-11.60543675255322,-8.497302587956177,61.03004276884754
2,104.013477,31.578084000000004,12.253,180,79,-52,5.0,406391.35368204414,3494093.0745139346,0,11,58.20016269336258,1.9274246072748837,12.803337401728179,-4.582922435977372,34.72881781020641,39.14300640661511,-16.267307998238017,1.0175495626494937,40.37957884988483,-16.267307998238017,4.866491195765727,52.549401653684164
3,103.987777,31.611641,13.17,311,86,57,4.8,403987.06323728635,3497834.918849598,131,4,61.55166045871233,1.8529120537043469,11.491818532027155,-2.6896220890197773,35.543968594950215,40.534332246926944,3.9715036337329144,2.935718291540214,39.55832094819208,3.9715036337329126,-10.25773837558304,62.2146317646106
4,104.191919,31.79444,7.285,136,79,57,4.3,423501.4966720296,3517935.5235087713,316,11,42.264193895397405,0.7548616700415083,4.796847115542481,1.188000758185076,30.45532400648157,39.150430507953416,-5.249115452981349,3.818189794067938,37.25701111971047,-5.249115452981346,3.266147051807558,40.41273444127423
5,104.264486,31.903859000000004,3.632,93,19,-8,5.1,430453.5274001182,3530015.192185944,273,71,34.02471435990927,0.07748154600714459,3.300800107980484,-1.7440943727881928,27.565095350217216,38.45807523486569,0.12168097793335697,-3.0427335639727966,33.526378424582,0.12168097793335697,1.5683174493640657,38.93467375534899
6,104.460978,31.926731,11.869000000000002,11,89,-116,4.0,449045.7116886179,3532441.1785475714,191,1,35.86688647935735,0.46430888635952194,4.037240558541624,-4.0786439033677295,25.038598665164784,34.669753182447955,4.552551545681602,-1.3168080904937558,25.053092364194125,4.552551545681602,-3.2568434151022787,36.02911138412625
7,104.604826,32.112767,19.344,217,88,126,4.7,462719.3303863785,3553003.5193359815,37,2,35.92050782581666,0.0501022350810013,5.693808632291457,-4.3522319371845,27.532649570026543,35.321694374657376,-7.344899412389819,-3.7292910522794402,30.81228455970476,-7.344899412389818,-0.0809723077921558,35.413758021845304
8,105.020516,32.318228999999995,11.685,62,81,-122,4.4,501931.12291200383,3575710.0490039587,242,9,35.056667487599405,0.3223773047651402,3.8813333164536696,-1.2189264368603439,20.35586936680525,32.85072252807351,1.948930703509486,-5.7402198834739755,29.06180413100099,1.948930703509486,1.9811860710519618,35.82441301469359
9,105.136255,32.422504,17.659000000000006,302,84,41,4.1,512810.651555052,3587276.805900332,122,6,31.0199159028378,0.07824011424138463,4.426747686055373,-2.4376348314805445,21.610048582557678,32.666821962097025,0.12824270852856268,5.434985055033416,29.589482677475907,0.12824270852856268,-4.502398578513051,31.062675459638967
10,103.479346,30.985919,12.925999999999998,190,28,77,8.0,354799.7546635729,3429033.541186752,10,62,39.54623939611227,0.7023322447173148,12.265140188576236,-8.090364146392515,37.8759746984484,38.731127857989044,6.758739767711935,-4.913140234818876,50.30932604420639,6.758739767711926,3.1942057168985265,26.898462298293097
11,103.280119,30.995732,14.642,181,58,57,4.8,335790.7552638133,3430398.3666776777,1,32,63.90109266508479,0.554692063263804,15.12641711938562,-9.045120993736953,46.90338823915434,46.678339582887205,-14.346623989860825,-4.179109878570614,65.39796305555946,-14.346623989860827,7.74149508293731,45.38709082806648
12,103.407113,30.889978000000006,14.315,218,25,102,4.1,347749.69910370075,3418495.534496469,38,65,42.03538830756497,0.5554944108130145,13.546831662934686,-7.555601608251128,38.571682623311204,38.0056581289145,8.236541244986082,2.335630458722209,53.023127671067954,8.236541244986075,-0.6378498099688115,26.830404019147938
13,103.281885,30.913218,16.424,192,30,81,5.0,335818.2741619813,3421249.2505177073,12,60,57.96267930185788,0.6423957617245386,16.082247631212674,-8.884409018425245,44.426774706685464,43.89333929642326,2.8046486636226877,-4.282599901205132,69.73059800861158,2.804648663622679,3.2754715189334678,32.37451114714609
14,103.324129,30.797489,15.73,184,48,86,4.7,339663.1406478638,3408359.7873654338,4,42,46.3768146137698,0.476495197339228,15.135609595141531,-8.187583786460168,40.001712508293416,37.826358889826594,-4.846277095867466,-4.295592160071028,58.397640105376695,-4.846277095867457,5.702146013163983,27.903986506541397
15,103.837126,31.427696,12.757,194,30,92,5.6,389480.07738257275,3477587.8217894817,14,60,68.59277110478304,1.9549662301523143,9.99588390738263,-8.46327707893671,35.860695776922405,41.07637236440108,-8.56543740353299,-4.766541948686874,70.42930964751656,-8.565437403533004,3.3314239622933086,33.41160993264249
16,103.879443,31.399921000000006,4.75,213,36,95,5.3,393470.7525080454,3474467.3893158627,33,54,64.03680027356418,0.48147225075264416,13.87735242448823,-7.85904999074556,36.62842647342518,42.27404547187526,-7.52706107107522,-0.6183380056374228,70.133808121917,-7.527061071075231,-2.4962175605678008,31.766241276884106
17,103.887939,31.437242,15.847,206,57,84,4.0,394320.3577372249,3478595.920934482,26,33,61.79696893839158,1.3438206151347847,12.622718609045362,-9.474267376523432,34.629670027764014,39.07244231126539,-18.8067978373115,-2.398310748589611,56.70259048761065,-18.806797837311507,1.9981216595568934,39.51886765535282
18,103.899219,31.397040000000004,23.965,215,61,99,4.2,395347.7304419915,3474129.063679125,35,29,53.00237487945721,0.3520291414104225,14.434196894989185,-11.27931641429036,33.94054808259409,36.78266935466465,-17.520464510870625,-1.5282189135426356,54.39670083298165,-17.520464510870625,0.25092580170760603,33.15045221620871
19,103.600317,31.292438,15.127,232,35,136,4.9,366781.1422519513,3462857.4311882905,52,55,64.15495930414323,2.0346906734413057,6.877771337545889,-10.043394395204015,42.64478134679691,42.78186321874849,-6.838984288227969,-0.9459633645110227,67.87284941179723,-6.838984288227969,-0.01972638230952095,37.0377620635424
20,103.9075,31.43804,15.5,198,52,90,5.0,396180.2323186118,3478665.717168181,18,38,59.90221512651147,1.21950246533841,13.156586239256788,-9.672069169649086,34.2615477977316,38.7141938899251,-16.331141740063146,-3.4139776928133734,58.840310372757315,-16.331141740063153,3.846674828994451,35.0318368540614
21,103.925977,31.400348,22.581,188,48,96,4.9,397895.35855739313,3474470.568845025,8,42,51.23627279606353,0.24838112531097153,14.592102966869156,-11.144967152685181,33.38504728011112,36.429337025573936,-10.554018256874707,-6.160335154820185,57.28595131565531,-10.554018256874716,6.571542873078883,27.325870954809567
22,103.884814,31.419244,17.008,168,35,76,4.5,394003.1213229479,3476603.994866797,348,55,59.68110635843261,1.1124767715758397,12.946412895125457,-10.159276086081734,34.343286759963405,38.52711766066821,-7.9985612500337915,-9.274099398202793,61.4685325781589,-7.9985612500337915,8.773171845899611,33.18920120071827
23,103.902612,31.388328,22.213,162,14,54,4.8,395660.6889919858,3473160.190411849,342,76,52.528361639875655,0.3482407238653733,14.235591779048725,-11.400648329185056,33.61816246719931,36.788776985878954,4.52369598243386,-14.495372003671294,56.15347965742529,4.5236959824338605,4.864806301682617,30.50050195661333
24,104.06224,31.569877,16.002,222,47,74,4.5,411010.7466224037,3493142.702525715,42,43,50.43193130767841,1.3313372876192642,13.828781314280477,-6.277078221929692,33.24015627448473,36.705954233786805,-9.471229453587064,1.9706953975512698,55.79993344940654,-9.471229453587064,-4.43625511129419,28.099871762409073
25,104.027466,31.675761,17.854,208,60,92,4.4,407815.170312198,3504908.019890729,28,30,55.73670590858776,1.0947153579953255,12.347685662577362,-2.8238931095431243,35.45956927147839,40.316512516015905,-14.823756526948266,0.43834845653635823,51.24089145930609,-14.82375652694827,-3.5615161166065135,40.11831108254488
26,104.110018,31.701078000000006,28.175,200,54,94,5.1,415663.3297292379,3507647.4397202167,20,36,48.04390838328287,0.6797946297163606,14.637302506298136,-6.134383101061318,34.59968085907763,37.45525962931852,-11.340791069674118,-0.7668381353187124,54.25394633320394,-11.340791069674125,0.38002426072344375,28.286718604748117
27,104.335327,31.794672,9.796,218,57,98,5.0,437077.9435925793,3517869.302101516,38,33,36.473468484509205,1.5718182286873403,5.306504672309484,-1.8064051532405676,25.79039224303269,34.041081585504365,-6.301042959645169,-2.034057677676567,34.92232223572388,-6.301042959645169,-3.519106467772362,28.943743450408455
28,103.956104,31.622097,21.548,150,29,87,4.5,400993.68941685284,3499022.1648721,330,61,60.02146265305419,0.908834508026992,13.19545203674307,-4.516196958161414,36.14928644798872,40.32839712419174,-4.486533988400742,-8.093641225093256,62.617272102706266,-4.486533988400744,7.074961080409458,35.38532843917472
29,104.110254,31.8019,18.694000000000006,147,36,91,4.6,415777.0273157624,3518822.7836867436,327,54,48.632005208578626,0.39389306792593054,11.405229940346754,-2.955099041256653,35.46184386890502,41.167346828206746,-2.8284028511420853,-5.4044215603491494,52.357254322950595,-2.828402851142087,7.345912671628812,33.788866896821844
30,104.132837,31.808382,18.6,305,52,62,4.3,417920.5300025944,3519524.0054120617,125,38,47.102016148782916,0.46774181765234163,11.090710130648237,-3.042457847174038,34.978264997589186,40.607581350446814,-2.8999822812977065,8.625807322297177,38.4379418591691,-2.899982281297703,-7.004324139847711,47.85920079102765
31,104.35411,31.899652000000003,8.599,145,70,64,4.6,438925.3108119411,3529494.87770768,325,20,35.65156481740789,0.7787689394074109,3.1227703406669476,-2.634574784377153,26.41098316383506,37.487436169188655,-2.3654633483314687,3.789940468129048,32.02882446142564,-2.365463348331467,5.58214534207522,34.409568425936975
32,104.698617,32.103849,19.206,212,69,119,6.1,471564.840062497,3551986.4115357487,32,21,33.81070737968118,0.34414933853811186,4.750904330203177,-4.361135025644247,25.314566043112478,33.598728415832085,-6.879269764321594,-3.7579423375139394,32.405978416180716,-6.879269764321592,-0.17767035042882484,28.736287936698893
33,104.726579,32.179431,9.09,227,38,97,4.4,474224.3039624986,3560357.3021120033,47,52,34.19032822193405,0.5595431991833848,2.403490477215597,-1.921239575912586,22.667824604481943,35.003629125741064,-1.9233593900757509,-3.4594699145269554,35.06608913255575,-1.9233593900757455,-5.154811595131823,27.832036886517017
34,105.016667,32.183333000000005,19.0,183,47,61,4.7,501571.1466755994,3560757.18903154,3,43,31.117172823874597,0.26545861581983327,4.527673481651209,-4.515608097694707,20.61942905102095,30.371526558740744,-5.568490024472701,-3.0934904251814315,30.24781113073859,-5.5684900244727,2.957124700245517,21.487754268247187
35,104.873836,32.267828,11.01,250,54,91,4.5,488117.9024639431,3570130.0188246923,70,36,37.14265924792885,-0.0017142717834154036,1.1539195096738681,-3.314220272626159,21.562571960256363,35.14115985952557,-2.7909156629431404,-3.558466942204053,38.13103413213434,-2.790915662943142,-2.5245624741675683,32.56549384116638
36,104.969141,32.267078000000005,11.271,238,48,88,4.3,497093.68327705096,3570040.317078754,58,42,36.64274460183059,0.31926508608699355,3.055703591996064,-2.4307397031583236,20.024962701651553,33.03096488823935,-4.139554330949281,-3.575514729289919,36.13309123326252,-4.139554330949281,-4.973154667464924,29.601391651785214
37,104.86766,32.308189,20.498,235,50,84,6.0,487541.7677470501,3574604.6406729706,55,40,37.13001836997955,-0.6780125571446689,4.5382108774705205,-4.356331566473619,24.65134969680668,34.651906456726,-3.5982304799667,-2.638364170451098,40.19673197013874,-3.5982304799666984,-3.8048750395898105,28.932233801538224
38,104.914111,32.335236,22.068,233,47,109,5.0,491916.98004225385,3577598.2997420467,53,43,36.76322139777912,-0.7960316692684578,5.3938521872627225,-4.168342024928352,24.604127943142306,34.165209869752516,-3.1000359511740285,-1.9733380910757063,40.489757663595014,-3.1000359511740285,-4.3001961642582796,27.74102306355339
39,105.080615,32.383708,19.47,231,63,65,4.1,507582.63701754756,3582970.977494906,51,27,32.447608125041974,-0.11399778878709496,5.157091596853495,-2.682375768278758,22.428048088557418,32.70041725903875,-4.631228736371956,-3.4021115251053944,33.81914248149266,-4.631228736371952,-4.336966505261977,27.37207780240794
40,104.973918,32.414087,18.637,221,35,89,5.1,497547.5519545392,3586335.915323718,41,55,35.9325460377433,-0.7283528566002448,5.555476323093538,-2.9714838529254815,24.028651931543962,35.045165830002084,-0.9254979559978764,-2.0382572720236194,39.585348152317735,-0.92549795599788,-5.355442600702322,25.838770142357482
41,104.995516,32.457367,22.555,256,61,144,4.2,499578.578158327,3591133.2175166192,76,29,36.13787717983713,-0.8030424469878504,6.448686011678355,-3.8782484279169624,25.276246726137522,34.75376717168298,-3.4830626750135973,1.2530197558304028,39.45743968613315,-3.4830626750136027,-5.3868249200140745,31.256526967017844
42,105.405192,32.513071999999994,17.555,33,36,43,4.5,538058.0279946495,3597380.4944678736,213,54,26.789464236421,0.3342635627580112,3.393628371095541,-1.6576016719303988,18.70945182675049,30.183957057912462,-3.527410862124377,-3.3714380108877604,21.50289256447158,-3.5274108621243725,-3.8609847590267377,27.094360285528616
43,104.499048,32.082241,14.027,5,46,117,4.0,452724.42592773424,3549661.319101653,185,44,37.822032222829016,-0.22205130742108395,5.5667109218254724,-2.9970000432707695,27.99887751433054,36.952755885418284,-4.652678946931626,1.0204136558186665,26.990993392602185,-4.652678946931621,-2.490597406184568,38.93648991529572
44,104.515739,32.098537,16.549,132,38,76,4.6,454307.7077567098,3551460.468660076,312,52,37.77664183660056,-0.17908122187519154,6.040149219477761,-3.6980791103725954,28.6248024298021,36.83160052438203,-2.014642849669464,-2.9630893117296555,37.21317669343927,-2.014642849669457,7.517536014519346,33.54248842063635
45,104.783333,32.416667,18.0,324,45,89,4.0,479627.7135605713,3586642.257722895,144,45,41.31161322761741,-1.5240833069839284,4.772407384278481,-5.207217259491097,27.094719227833775,38.424019265230285,-5.876103232266619,8.438833371692823,34.635276828000706,-5.876103232266619,-1.4859447826973904,36.23574316270088
46,105.014339,32.404097,23.323,213,46,119,4.4,501348.4213730575,3585228.318667298,33,44,34.84692202393844,-0.6568449442881614,6.182059555061693,-3.6895728147335434,24.47661014500187,33.64355928669068,-3.77444951980665,-3.01480747137045,38.38817397276297,-3.7744495198066517,-3.2904005404138066,24.25462342168315
47,105.089909,32.501851,23.836,206,42,128,4.3,508445.8052674079,3596067.8598214267,26,48,34.19434543147456,-0.5507556294196452,6.227035986722992,-3.847565871738108,24.729918347416458,33.72465793368989,-2.8696248381886758,-3.1395896739267277,38.16860273307519,-2.869624838188674,-2.3982663674104994,22.91817487561707
48,105.067603,32.51627,7.285,158,19,84,4.6,506349.4266761708,3597664.679005304,338,71,30.980100744492148,-0.042190158270791894,2.0861756123145643,-2.6389719896902477,20.39816473012828,36.824719615126995,-1.811658525272458,-1.2048015786242572,30.68192457086171,-1.8116585252724597,6.416920880588178,22.97217324405085
49,105.261654,32.519773,18.973,141,54,64,4.2,524574.2161701478,3598081.1438000067,321,36,29.760494165312608,-0.2184427661170278,4.198235357494761,-2.522445227754119,21.02342302688615,32.07780389102516,-2.692126418302996,1.6319435503904867,28.360836274804928,-2.692126418302994,6.874485491412503,26.587434573684995
50,105.438509,32.697616,19.805,189,35,90,4.4,541103.0132454163,3617850.4062810508,9,55,28.063560158892308,-0.14956061377406502,3.693800924603728,-3.5050475668221632,20.974056795567456,32.401803634317275,-1.7425329886910195,-3.4568216443086754,29.781940429347813,-1.742532988691023,0.09134672099074925,19.581550167050015
51,105.422054,32.722128999999995,11.972,172,65,100,4.6,539549.7982813941,3620561.5671274466,352,25,27.113166071816977,0.16694663927660006,3.000205157535711,-2.889036641087356,18.657390552000575,33.092533254937635,-4.7653099639482885,0.5629410113707785,22.40301656755082,-4.765309963948286,3.8798935553333296,23.693153260079534
52,105.460384,32.781954,8.552,160,68,111,5.6,543112.8228632857,3627208.550795025,340,22,27.667483920318503,0.14963797198744888,1.6248990740366243,-3.7625158691008567,17.573197534280315,33.78394832741096,-2.986669877244795,3.404293527061866,20.86935981590374,-2.9866698772447986,5.788094116073307,26.363804687660412
53,105.503019,32.762443,2.512,27,50,116,4.7,547115.7126658758,3625063.7786480635,207,40,28.903483014911906,1.5818828820603301,-1.0321788707445076,-3.834666014238756,13.528028961313096,31.546943617359787,-6.229788063029593,-2.3738437455390957,20.500414257376413,-6.2297880630295905,-7.063805806165236,24.36515876360384
54,103.413599,31.273075,14.193,31,84,-168,6.0,348976.86915708537,3460951.665759833,211,6,69.23957557214904,1.3527763847677758,10.807236593198231,-7.117435840235177,50.76043123675606,48.35255404052065,10.535240550710839,1.7446931753102426,46.46104799589283,10.535240550710839,-0.3542655442667144,71.705804497444
55,103.357739,31.306809,14.066,212,84,-158,5.0,343714.09439935966,3464768.9318105336,32,6,76.14995757118679,1.404526270439772,11.481263446482854,-5.7591098585837175,52.48548566490486,50.69354710148393,-15.152669628865882,1.5386601300778608,53.65664170498115,-15.15266962886588,-1.0450315401322126,73.2132194811692
56,103.320076,31.347632,7.1110000000000015,40,83,-171,5.6,340198.42687799677,3469348.292909167,220,7,82.97533888871622,2.175388562730768,9.430162545673692,-3.453876958719138,56.92348983344281,57.169065404126016,5.765382430912176,-0.16136192539087868,53.01513483451627,5.765382430912176,3.42160746150868,84.84282027542868
57,103.187264,31.431868,6.848,240,73,-159,5.9,327716.8387653117,3478886.8911770787,60,17,85.84329816846696,-2.9354271610553955,4.114439524042169,3.074983426568033,63.06413774108068,65.33321149893118,-4.68015033603773,1.9552765526361118,68.5537532905335,-4.68015033603773,-4.735972812327764,84.59764242983479
58,103.266667,31.533333,1.0,235,78,-175,4.8,335442.1770984839,3490013.125513749,55,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,103.396134,31.40035,5.0360000000000005,17,68,179,4.1,347519.47310938983,3475084.2660332746,197,22,82.16861682785088,-0.026137312085754733,10.04322876287057,-5.306139735514474,50.409480566854654,51.70379124009817,-2.9625933750470494,0.4452583563558369,47.22448443399324,-2.962593375047046,-2.1259365386734412,85.47886800742927
60,103.45957,31.313802000000006,2.135,358,81,-176,5.0,353416.8010684393,3465404.1889493507,178,9,51.474522346200956,-6.403555866548969,0.9803308364747882,-5.378835540312228,66.04139598921833,59.9844210301655,2.9337996081271296,-5.67169168054732,64.99721820902741,2.933799608127126,-6.375513152208008,52.064633406429046
61,103.4753,31.21813,14.4,44,79,-155,4.3,354767.284542146,3454778.3293142314,224,11,61.61492970587611,1.7849519844830284,9.761673516503805,-8.997315031686668,46.74623504778401,44.87447061858802,9.01734769048522,0.9203360243071457,39.72653573665472,9.01734769048522,0.4935782340043295,65.94754398070783
62,103.828158,31.412191,25.125,21,90,-153,4.0,388609.3747542257,3475878.2572689964,201,0,59.28681856205081,0.8258761312296046,13.292392618014581,-10.678747086791908,35.83165925174889,38.30618254878593,16.236438266700773,-0.21414406368918795,35.59683731194227,16.236438266700773,-5.205901772673965,59.28681856205081
63,103.267122,31.051174,19.398,110,79,-173,4.0,334645.4878400693,3436563.346034693,290,11,69.76167046703969,1.1593092340718012,16.507860311595444,-10.119874630418607,47.438837666916584,47.01391578979832,-0.529620907632518,-4.626141384972226,47.16076150238295,-0.5296209076325216,18.429406200457464,70.40972078310767
64,103.650789,31.185311,15.380999999999998,329,79,156,4.9,371440.34029584867,3450923.223771438,149,11,48.56436275547322,1.579768137034835,9.754939897448725,-12.94898639577231,36.92813090418229,39.75741265249348,-0.20851081231873714,5.030665454598614,38.78505282514304,-0.20851081231873358,-15.44753162459545,48.852800520567584
65,103.431746,31.220164,17.418,322,85,-159,4.6,350621.34515800327,3455061.852997255,142,5,65.15834716800076,1.8583225648070212,12.347786242560653,-9.047663734758745,47.686403301182025,45.40043180919756,2.6610304319568563,0.6269975521626059,48.026300033894906,2.661030431956852,-14.733130184152829,65.755100410284
66,104.152816,31.598031,12.432,60,75,-177,4.7,419630.4750849721,3496193.210076232,240,15,41.81106168358929,1.3515272531246,11.723717897162825,-5.859285261568542,30.70990578611113,35.12822019575058,7.231513452708681,-4.3702857278270635,27.985174220378777,7.231513452708681,6.307194144984402,46.67907212143832
67,104.1,32.016667,2.0,314,62,175,4.0,415004.0287270713,3542637.040697486,134,28,40.8985684429901,-5.539574975044184,7.070451849670106,-0.3605638149883671,25.824107555050716,35.85603690880397,-3.7902648706404314,7.102182083039569,25.020637705750502,-3.790264870640428,-2.267692429869289,41.35685719622378
68,104.200171,32.023234,0.826,355,88,174,4.2,424469.8511844503,3543290.570701552,175,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,104.956323,32.327995,20.794,152,74,155,4.0,495889.2276472739,3576793.2448182437,332,16,35.773648043205654,-0.5915934569283943,5.2464491478165876,-3.646790464343316,23.573429227563924,33.4556759502194,-5.261945766885499,2.053248009643905,27.607272382040943,-5.2619457668855,6.500763966018589,33.42743392775702
70,105.120524,32.461674,2.545,237,85,161,4.6,511326.72727441107,3591617.036072088,57,5,32.19706809836275,1.0069263506945139,0.47298940840024006,-0.34701215459702783,15.337395452943971,32.723902801696966,-1.0222131209839496,-8.30135625327552,26.78407256094282,-1.0222131209839502,-0.9347538213241666,32.05963648780506
71,105.15564,32.494153000000004,21.03,84,83,-175,4.8,514621.64593063993,3595221.635323265,264,7,31.952146351665903,-0.34564415131053167,5.1718812435739085,-3.242398605017714,22.968219483172298,33.052303252972244,3.781842460929247,-1.2904513095246581,32.08732015537506,3.7818424609292483,4.682260600196658,32.87881219679761
72,105.26276,32.567261,17.394000000000002,217,78,147,5.4,524665.1037920123,3603345.56294816,37,12,30.111387480456838,-0.27448454817990076,4.251559166574209,-2.56316806553731,20.935917686125755,32.83353255065369,-5.447094381905893,-5.561034932098586,27.716282828269907,-5.4470943819058935,-1.7050793940350943,27.903967701975187
73,105.345313,32.590257,26.591,242,89,176,6.4,532406.0604405273,3605916.8847142463,62,1,29.47992772291988,-0.27140794863386347,5.154780924591987,-3.5592967444886523,22.844768275576975,31.59765140110644,-5.5520903078587445,-3.4256654733668075,30.087501598401747,-5.5520903078587445,-2.9406467849378424,29.28591841411987
74,105.605998,32.806189,19.316,255,87,176,4.6,556733.6928012578,3629963.929459782,75,3,28.781743925558093,-0.5857960845321929,2.848217808333864,-3.8172848443727454,20.18128498300547,31.798906535337878,-4.267825753017188,-2.301528197369952,31.769111068434135,-4.267825753017188,-1.8862187979986305,28.326204356498458
75,105.716667,32.816666999999995,33.0,237,81,180,4.8,567086.8877810078,3631190.321969077,57,9,29.31544883267669,-0.9645997321566084,3.41274940884806,-3.9272405271274904,23.057509185875652,29.747904028117773,-5.003865453103803,-2.5177175903424645,30.253117550129634,-5.003865453103801,-1.131026612809741,27.70685796279132
76,105.605477,32.794507,19.632,252,89,168,5.4,556692.3298352677,3628668.5937246075,72,1,28.47559857182639,-0.5711487177433285,2.793444188753536,-3.7333377587085077,20.168307930791475,31.679798042021478,-4.368559188713888,-2.8943961595165013,31.06955863932333,-4.368559188713888,-1.553809316289583,28.322301277346938
77,105.590552,32.799768,17.975,330,54,-5,5.7,555291.5874996057,3629243.922163203,150,36,28.604693822565917,-0.5343974583389759,2.7249544890972013,-3.767037385797236,19.810222179413195,32.00787223721336,-2.804809601015089,6.775252302054637,24.088549765811024,-2.804809601015089,-0.7940920134103449,26.91297697597875
78,105.572078,32.700631,21.044,55,84,-148,5.1,553621.2635409591,3618244.288622185,235,6,26.820739104578543,-0.263984838774428,2.529547150530678,-3.2134662851842077,20.05329489522616,30.8882550907987,4.072047839577834,-4.9970129493038025,26.714575187019136,4.072047839577835,-0.29503111655297853,27.67789083507633
79,105.39353,32.566583,22.983,83,85,168,4.5,536940.7415041972,3603308.248359332,263,5,27.69250160039298,-0.05936258036160649,4.261243272371004,-2.8136595785072953,21.149547364188663,30.990463512847864,3.5365844933767203,-1.4671946855657594,30.259492316173628,3.5365844933767194,3.7730649745728373,28.29167527154861
80,105.27063,32.49777,10.880999999999998,238,85,158,4.3,525423.4250728616,3595644.1741554583,58,5,29.079755205849594,0.15020882106329683,2.057354088490781,-0.9070275980145875,17.90415865630582,31.82042061037879,-1.9442504068027,-6.185553096693442,28.110306012243484,-1.9442504068026993,-1.8100781889189217,28.74697588878719
81,105.1739,32.41252,12.6,86,79,-177,4.0,516351.8273216726,3586175.2157280007,266,11,29.536260329543982,0.6560610766439744,2.9975738589780665,-1.647820875272977,19.408939658431805,32.2225034184625,2.1923473326700442,-2.061647516487386,31.28252920598491,2.1923473326700442,2.5283986593928187,30.322578126721773
82,105.65,32.416667,19.0,90,86,178,4.8,561117.2648184509,3586807.457136899,270,4,21.58745937056741,0.8621802721470722,1.708872758691076,-2.3659626178242625,16.819193485627117,27.083620408930173,2.725396119810002,-0.9792849820608364,26.727597923946668,2.7253961198100023,1.6445673750218184,21.94348185555091
