,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg
0,1.2616,0.1872,1.2755,230.0,80.0,81.55986407549634
1,1.4475,0.1238,1.4528,230.0,80.0,85.1115731998089
2,1.4525,0.0435,1.4532,230.0,80.0,88.28459781666933
3,1.2829,-0.0,1.2829,230.0,80.0,90.0
4,1.0385,-0.0,1.0385,230.0,80.0,90.0
5,0.7792,-0.0,0.7792,230.0,80.0,90.0
6,0.5151,-0.0,0.5151,230.0,80.0,90.0
7,0.2432,-0.0,0.2432,230.0,80.0,90.0
8,2.0044,0.166,2.0113,230.0,80.0,85.2656936852578
9,2.2840000000000003,0.1032,2.2863,230.0,80.0,87.41291354748091
10,2.3488,0.021,2.3489,230.0,80.0,89.48774722792851
11,2.146,-0.0,2.146,230.0,80.0,90.0
12,1.7864,-0.0,1.7864,230.0,80.0,90.0
13,1.3603,-0.0,1.3603,230.0,80.0,90.0
14,0.9005,-0.0,0.9005,230.0,80.0,90.0
15,0.4226,-0.0,0.4226,230.0,80.0,90.0
16,2.178,0.49,2.2324,230.0,80.0,77.32086846446781
17,2.3693,0.3968,2.4023,230.0,80.0,80.49258647842521
18,2.427,0.2074,2.4359,230.0,80.0,85.11563874136075
19,2.2521,0.0481,2.2526,230.0,80.0,88.77647170922653
20,1.9087,-0.0,1.9087,230.0,80.0,90.0
21,1.4687,-0.0,1.4687,230.0,80.0,90.0
22,0.97,-0.0,0.97,230.0,80.0,90.0
23,0.4491,-0.0,0.4491,230.0,80.0,90.0
24,2.1927,1.2171,2.5079,230.0,80.0,60.966698910937644
25,2.2186,1.077,2.4662,230.0,80.0,64.10615009246055
26,2.1590000000000003,0.7543,2.287,230.0,80.0,70.74187665936039
27,1.9409,0.3679,1.9755,230.0,80.0,79.26685119090999
28,1.6065,0.096,1.6094,230.0,80.0,86.58022928399252
29,1.2088,-0.0,1.2088,230.0,80.0,90.0
30,0.7779,-0.0,0.7779,230.0,80.0,90.0
31,0.3484,-0.0,0.3484,230.0,80.0,90.0
32,2.3109,1.8975,2.9901,230.0,80.0,50.610285785974426
33,2.2274,1.7746,2.8478,230.0,80.0,51.45518909800015
34,2.0141,1.4502,2.4818,230.0,80.0,54.24521347218402
35,1.6677,0.9338,1.9113,230.0,80.0,60.75410301855115
36,1.2563,0.4192,1.3244,230.0,80.0,71.54726637944306
37,0.8503,0.0971,0.8558,230.0,80.0,83.48532940086506
38,0.4911,-0.0,0.4911,230.0,80.0,90.0
39,0.1977,-0.0,0.1977,230.0,80.0,90.0
40,2.6079,2.0012,3.2873,230.0,80.0,52.4987838583934
41,2.5125,2.0306,3.2305,230.0,80.0,51.05489104276071
42,2.1694,1.9266,2.9014,230.0,80.0,48.39237195776171
43,1.6577,1.5004,2.2358,230.0,80.0,47.851456290737076
44,1.0999,0.8734,1.4045,230.0,80.0,51.54788811653248
45,0.6117,0.3271,0.6936,230.0,80.0,61.86483527771965
46,0.265,0.0486,0.2694,230.0,80.0,79.60765589466375
47,0.0715,-0.0,0.0715,230.0,80.0,90.0
48,2.9934,1.2851,3.2576,230.0,80.0,66.76561276390312
49,2.9283,1.6332,3.353,230.0,80.0,60.850292234109205
50,2.5038,1.9565,3.1776,230.0,80.0,51.9954950901309
51,1.8596,1.8254,2.6058,230.0,80.0,45.531739322010644
52,1.1568,1.2553,1.7071,230.0,80.0,42.66158103669362
53,0.5548,0.5853,0.8064,230.0,80.0,43.4675865535632
54,0.1662,0.1409,0.2179,230.0,80.0,49.70959636831142
55,0.0087,-0.0,0.0087,230.0,80.0,90.0
56,3.2034,0.3741,3.2252,230.0,80.0,83.33904611366995
57,3.1784,1.0064,3.3339,230.0,80.0,72.4302703790597
58,2.7716,1.7002,3.2516,230.0,80.0,58.473536773417216
59,2.1008,1.8591,2.8053,230.0,80.0,48.4928232641708
60,1.3205,1.4189,1.9383,230.0,80.0,42.942804343872304
61,0.6223,0.7357,0.9636,230.0,80.0,40.22658170677284
62,0.1686,0.2083,0.268,230.0,80.0,38.98703742490849
63,-0.0,-0.0,0.0,230.0,80.0,-180.0
64,3.1433,0.3384,3.1614,230.0,80.0,83.8553425692058
65,3.1628,0.8695,3.2802,230.0,80.0,74.62829615221251
66,2.8815,1.516,3.2559,230.0,80.0,62.250474805785245
67,2.2893,1.7093,2.8569999999999998,230.0,80.0,53.25323608952018
68,1.5006,1.3418,2.013,230.0,80.0,48.197692487708615
69,0.735,0.7177,1.0273,230.0,80.0,45.682295127090605
70,0.2085,0.2117,0.2971,230.0,80.0,44.56367693909127
71,-0.0,-0.0,0.0,230.0,80.0,-180.0
72,3.0131,0.8131,3.1209,230.0,80.0,74.89817033608702
73,3.1105,1.102,3.3,230.0,80.0,70.4915845326631
74,2.9727,1.4374,3.302,230.0,80.0,64.19467793215028
75,2.4732,1.4548,2.8694,230.0,80.0,59.53486005208762
76,1.6867,1.0873,2.0068,230.0,80.0,57.19289564881338
77,0.857,0.5617,1.0247,230.0,80.0,56.758128190038214
78,0.2531,0.1587,0.2987,230.0,80.0,57.91126422821411
79,-0.0,-0.0,0.0,230.0,80.0,-180.0
80,3.0226,1.0945,3.2146,230.0,80.0,70.0944012358635
81,3.219,1.1914,3.4324,230.0,80.0,69.68973380572815
82,3.1906,1.2574,3.4294,230.0,80.0,68.49084057172044
83,2.7354,1.1077,2.9512,230.0,80.0,67.95451782418479
84,1.912,0.7474,2.0529,230.0,80.0,68.6494923763246
85,0.9946,0.3472,1.0535,230.0,80.0,70.75666842422206
86,0.3017,0.0833,0.313,230.0,80.0,74.56505990379578
87,-0.0,-0.0,0.0,230.0,80.0,-180.0
88,3.2132,1.0937,3.3942,230.0,80.0,71.20259680303124
89,3.5157,1.0671,3.6741,230.0,80.0,73.11568702226076
90,3.5534,0.9684,3.6830000000000003,230.0,80.0,74.75552381669719
91,3.0808,0.733,3.1668,230.0,80.0,76.61672162855312
92,2.1723,0.4197,2.2125,230.0,80.0,79.06488298974409
93,1.1457,0.1554,1.1562,230.0,80.0,82.27567727094842
94,0.3606,0.0229,0.3613,230.0,80.0,86.36629567936309
95,0.008,-0.0,0.008,230.0,80.0,90.0
96,3.5162,1.0979,3.6836,230.0,80.0,72.65952250505991
97,3.9075,0.9777,4.0280000000000005,230.0,80.0,75.95237168830198
98,3.9362,0.7418,4.0055,230.0,80.0,79.32744653956541
99,3.377,0.4388,3.4054,230.0,80.0,82.5965916453885
100,2.3632,0.1798,2.3701,230.0,80.0,85.64913166106054
101,1.2524,0.0382,1.253,230.0,80.0,88.25293802854686
102,0.4133,-0.0,0.4133,230.0,80.0,90.0
103,0.0285,-0.0,0.0285,230.0,80.0,90.0
104,3.7284,1.2972,3.9476,230.0,80.0,70.81598541493162
105,4.1159,1.0754,4.254,230.0,80.0,75.3571410637081
106,4.0264,0.6686,4.0815,230.0,80.0,80.57183324516431
107,3.3459,0.2699,3.3567,230.0,80.0,85.3881707129595
108,2.2892,0.0486,2.2897,230.0,80.0,88.78378619403938
109,1.2079,-0.0,1.2079,230.0,80.0,90.0
110,0.4161,-0.0,0.4161,230.0,80.0,90.0
111,0.0477,-0.0,0.0477,230.0,80.0,90.0
112,3.6104,1.5915,3.9456,230.0,80.0,66.21164073153011
113,3.7448,1.2569,3.9501,230.0,80.0,71.44625180769319
114,3.4179,0.6704,3.483,230.0,80.0,78.9026686409034
115,2.6937,0.1877,2.7002,230.0,80.0,86.01400954925384
116,1.7828,-0.0,1.7828,230.0,80.0,90.0
117,0.9309,-0.0,0.9309,230.0,80.0,90.0
118,0.3301,0.0018,0.3301,230.0,80.0,89.68757533789551
119,0.0474,-0.0,0.0474,230.0,80.0,90.0
120,3.0073,1.7741,3.4916,230.0,80.0,59.46232069811413
121,2.4443,1.2833,2.7607,230.0,80.0,62.299746228106706
122,1.9111,0.5886,1.9997,230.0,80.0,72.88168246392291
123,1.4066,0.133,1.4129,230.0,80.0,84.59850004756471
124,0.8954,-0.0,0.8954,230.0,80.0,90.0
125,0.4599,-0.0,0.4599,230.0,80.0,90.0
126,0.1633,-0.0,0.1633,230.0,80.0,90.0
127,0.0237,-0.0,0.0237,230.0,80.0,90.0
128,2.5822,2.5214,3.609,222.0,70.0,45.682541462458076
129,1.4732,1.6775,2.2325,222.0,70.0,41.289978922689315
130,0.4344,0.7044,0.8275,222.0,70.0,31.661929682630443
131,-0.0,0.1383,0.1383,222.0,70.0,-0.0
132,-0.0,-0.0,0.0,222.0,70.0,-180.0
133,0.0492,-0.0,0.0492,222.0,70.0,90.0
134,0.0776,-0.0,0.0776,222.0,70.0,90.0
135,0.0556,-0.0,0.0556,222.0,70.0,90.0
136,3.2026,2.7864,4.245,222.0,70.0,48.97532576029509
137,2.2081,2.0528,3.0149,222.0,70.0,47.08737532990028
138,0.9076,1.0194,1.3649,222.0,70.0,41.67955611297704
139,0.1504,0.2593,0.2998,222.0,70.0,30.11472519407527
140,0.0078,-0.0,0.0078,222.0,70.0,90.0
141,0.0769,-0.0,0.0769,222.0,70.0,90.0
142,0.1325,-0.0,0.1325,222.0,70.0,90.0
143,0.0972,-0.0,0.0972,222.0,70.0,90.0
144,4.1618,1.8495,4.5542,222.0,70.0,66.03968256844621
145,3.0738,1.5926,3.4619,222.0,70.0,62.61038237982657
146,1.436,0.9542,1.7241,222.0,70.0,56.39657102960372
147,0.3328,0.2981,0.4468,222.0,70.0,48.14814137058829
148,-0.0,-0.0,0.0,222.0,70.0,-180.0
149,0.0337,-0.0,0.0337,222.0,70.0,90.0
150,0.1121,-0.0,0.1121,222.0,70.0,90.0
151,0.0944,-0.0,0.0944,222.0,70.0,90.0
152,4.5344,1.3481,4.7306,222.0,70.0,73.44252071780069
153,3.5902,1.1954,3.784,222.0,70.0,71.58420403597117
154,1.935,0.7425,2.0726,222.0,70.0,69.00714662688581
155,0.6273,0.2348,0.6698,222.0,70.0,69.47899622923407
156,0.0602,-0.0,0.0602,222.0,70.0,90.0
157,-0.0,-0.0,0.0,222.0,70.0,-180.0
158,0.0548,-0.0,0.0548,222.0,70.0,90.0
159,0.0592,-0.0,0.0592,222.0,70.0,90.0
160,4.4183,1.9080000000000001,4.8127,222.0,70.0,66.6433670108144
161,3.6938,1.4379,3.9638,222.0,70.0,68.73033445356286
162,2.2752,0.7190000000000001,2.3861,222.0,70.0,72.46262124423662
163,0.9593,0.1709,0.9744,222.0,70.0,79.89868914592644
164,0.2156,-0.0,0.2156,222.0,70.0,90.0
165,-0.0,-0.0,0.0,222.0,70.0,-180.0
166,0.0006,-0.0,0.0006,222.0,70.0,90.0
167,0.0187,-0.0,0.0187,222.0,70.0,90.0
168,4.412,2.7335,5.1902,222.0,70.0,58.21928891058607
169,3.8564,1.8575,4.2805,222.0,70.0,64.28142529496654
170,2.6105,0.8096,2.7331,222.0,70.0,72.76965582018151
171,1.3186,0.1489,1.327,222.0,70.0,83.55729267566835
172,0.4523,-0.0,0.4523,222.0,70.0,90.0
173,0.0804,-0.0,0.0804,222.0,70.0,90.0
174,0.0002,-0.0,0.0002,222.0,70.0,90.0
175,0.0024,-0.0,0.0024,222.0,70.0,90.0
176,4.8999,2.3078,5.4162,222.0,70.0,64.78007067642899
177,4.3074,1.7326,4.6428,222.0,70.0,68.08813410776077
178,3.0545,0.7978,3.157,222.0,70.0,75.36202286248738
179,1.7285,0.1435,1.7345,222.0,70.0,85.25418994149766
180,0.7652,-0.0,0.7652,222.0,70.0,90.0
181,0.2688,-0.0,0.2688,222.0,70.0,90.0
182,0.0914,-0.0,0.0914,222.0,70.0,90.0
183,0.0337,-0.0,0.0337,222.0,70.0,90.0
184,5.2111,2.2127,5.6614,222.0,70.0,66.99329922580526
185,4.7475,1.7163,5.0482,222.0,70.0,70.12423621392026
186,3.5338,0.8216,3.628,222.0,70.0,76.91139795860099
187,2.1697,0.1574,2.1754,222.0,70.0,85.85076964112095
188,1.1393,-0.0,1.1393,222.0,70.0,90.0
189,0.5604,-0.0,0.5604,222.0,70.0,90.0
190,0.2858,-0.0,0.2858,222.0,70.0,90.0
191,0.1237,-0.0,0.1237,222.0,70.0,90.0
192,5.3022,2.6089,5.9092,222.0,70.0,63.80092083792225
193,5.0169,2.0162,5.4069,222.0,70.0,68.10571117470161
194,3.9001,1.0072,4.0281,222.0,70.0,75.51975383354345
195,2.5554,0.2297,2.5657,222.0,70.0,84.86359651684981
196,1.5308,-0.0,1.5308,222.0,70.0,90.0
197,0.9333,-0.0,0.9333,222.0,70.0,90.0
198,0.5769,-0.0,0.5769,222.0,70.0,90.0
199,0.2723,-0.0,0.2723,222.0,70.0,90.0
200,5.2751,3.1111,6.1242,222.0,70.0,59.469136961053884
201,5.0682,2.4534,5.6308,222.0,70.0,64.16943485548188
202,4.0345,1.3430000000000002,4.2522,222.0,70.0,71.58848677517028
203,2.7975,0.3998,2.8259,222.0,70.0,81.8667435866316
204,1.8903,-0.0,1.8903,222.0,70.0,90.0
205,1.3558,-0.0,1.3558,222.0,70.0,90.0
206,0.9439,-0.0,0.9439,222.0,70.0,90.0
207,0.4688,-0.0,0.4688,222.0,70.0,90.0
208,5.0034,3.1642,5.9199,222.0,70.0,57.69033181163361
209,4.7979,2.6433,5.4778,222.0,70.0,61.14837703584129
210,3.8613,1.6694,4.2067,222.0,70.0,66.61917127514093
211,2.8569999999999998,0.6944,2.9402,222.0,70.0,76.33903039197476
212,2.1937,0.1218,2.1971,222.0,70.0,86.82205040329097
213,1.7935,-0.0,1.7935,222.0,70.0,90.0
214,1.3454,-0.0,1.3454,222.0,70.0,90.0
215,0.6871,-0.0,0.6871,222.0,70.0,90.0
216,4.2627,2.5604,4.9726,222.0,70.0,59.00877599027639
217,4.0338,2.3632,4.675,222.0,70.0,59.63611352681361
218,3.3329,1.7971,3.7865,222.0,70.0,61.66644956380334
219,2.7385,0.9851,2.9103,222.0,70.0,70.21520152357472
220,2.4302,0.2962,2.4482,222.0,70.0,83.0508955221593
221,2.1931,-0.0,2.1931,222.0,70.0,90.0
222,1.7088,-0.0,1.7088,222.0,70.0,90.0
223,0.8819,-0.0,0.8819,222.0,70.0,90.0
224,3.0634,1.7288,3.5175,222.0,70.0,60.56221257415505
225,2.8138,1.8665,3.3766,222.0,70.0,56.44217788613531
226,2.5380000000000003,1.7198,3.0658,222.0,70.0,55.877640972739776
227,2.4909,1.1249,2.7331,222.0,70.0,65.69588214802053
228,2.5645,0.4166,2.5981,222.0,70.0,80.77297071174577
229,2.4609,0.024,2.461,222.0,70.0,89.44123893098099
230,1.9346,-0.0,1.9346,222.0,70.0,90.0
231,0.9945,-0.0,0.9945,222.0,70.0,90.0
232,1.7639,1.5282,2.3339,222.0,70.0,49.095140288789494
233,1.5726,1.699,2.3151,222.0,70.0,42.787447648345214
234,1.7871,1.6098,2.4052,222.0,70.0,47.98782179304072
235,2.217,1.0735,2.4632,222.0,70.0,64.16313559011189
236,2.5436,0.4012,2.5751,222.0,70.0,81.03662732663877
237,2.4863,0.0214,2.4864,222.0,70.0,89.50685781911417
238,1.9252,-0.0,1.9252,222.0,70.0,90.0
239,0.9723,-0.0,0.9723,222.0,70.0,90.0
240,1.1821,2.4819,2.7491,222.0,70.0,25.46791503938049
241,1.0902,2.1975,2.4530000000000003,222.0,70.0,26.38643332254071
242,1.5363,1.6731,2.2715,222.0,70.0,42.55925690635304
243,2.0669999999999997,0.9586,2.2785,222.0,70.0,65.1198315125712
244,2.3519,0.3068,2.3719,222.0,70.0,82.56786299671288
245,2.2114,-0.0,2.2114,222.0,70.0,90.0
246,1.6397,-0.0,1.6397,222.0,70.0,90.0
247,0.7985,-0.0,0.7985,222.0,70.0,90.0
248,2.1746,3.9064,4.4709,222.0,70.0,29.103646543918284
249,2.0540000000000003,3.0308,3.6612,222.0,70.0,34.125841089072225
250,2.1382,1.9825,2.9158,222.0,70.0,47.16388260214421
251,2.1792,0.9912,2.394,222.0,70.0,65.54178426090184
252,2.0495,0.2744,2.0678,222.0,70.0,82.37422886887096
253,1.6942,-0.0,1.6942,222.0,70.0,90.0
254,1.1436,-0.0,1.1436,222.0,70.0,90.0
255,0.5167,-0.0,0.5167,222.0,70.0,90.0
256,4.4256,4.6326,6.4067,222.0,70.0,43.69089196080196
257,4.1492,3.7510000000000003,5.5934,222.0,70.0,47.88548237109626
258,3.4137,2.51,4.2371,222.0,70.0,53.67397509257925
259,2.5235,1.2593,2.8202,222.0,70.0,63.47946767916342
260,1.7261,0.35200000000000004,1.7616,222.0,70.0,78.47383399366943
261,1.0931,-0.0,1.0931,222.0,70.0,90.0
262,0.6007,-0.0,0.6007,222.0,70.0,90.0
263,0.228,-0.0,0.228,222.0,70.0,90.0
264,6.2949,5.4481,8.3251,222.0,70.0,49.12451924385656
265,6.0367,4.5186,7.5405,222.0,70.0,53.18435481200516
266,4.5336,3.0918,5.4875,222.0,70.0,55.70700587659501
267,2.7683,1.575,3.185,222.0,70.0,60.36266767782679
268,1.3905,0.4528,1.4624,222.0,70.0,71.96276866562175
269,0.5697,-0.0,0.5697,222.0,70.0,90.0
270,0.1917,-0.0,0.1917,222.0,70.0,90.0
271,0.0434,-0.0,0.0434,222.0,70.0,90.0
272,7.0285,5.9157,9.1867,222.0,70.0,49.913580061881476
273,6.3529,4.7734,7.9464,222.0,70.0,53.07977435012079
274,4.4082,3.1686,5.4288,222.0,70.0,54.2915410393749
275,2.4083,1.5629,2.8710000000000004,222.0,70.0,57.017880464414425
276,0.9420000000000001,0.4338,1.037,222.0,70.0,65.27347794906797
277,0.1858,-0.0,0.1858,222.0,70.0,90.0
278,-0.0,-0.0,0.0,222.0,70.0,-180.0
279,-0.0,-0.0,0.0,222.0,70.0,-180.0
280,5.7472,4.4352,7.2596,222.0,70.0,52.34209512124375
281,3.8311,3.2982,5.0552,222.0,70.0,49.27478796143431
282,2.4142,2.025,3.1510000000000002,222.0,70.0,50.01050715844293
283,1.2815,0.9479,1.5939,222.0,70.0,53.51040553051979
284,0.4478,0.2511,0.5134,222.0,70.0,60.71884586002864
285,0.0474,-0.0,0.0474,222.0,70.0,90.0
286,0.0001,-0.0,0.0001,222.0,70.0,90.0
287,-0.0,-0.0,0.0,222.0,70.0,-180.0
288,3.5716,1.3926,3.8335,245.0,60.0,68.69872795515636
289,1.2993,1.2723,1.8185,245.0,60.0,45.601543477389534
290,0.5007,0.5389,0.7356,245.0,60.0,42.89561896579392
291,0.3881,0.2856,0.4819,245.0,60.0,53.65091549209121
292,0.3675,0.1011,0.3812,245.0,60.0,74.61831344093595
293,0.3158,-0.0,0.3158,245.0,60.0,90.0
294,0.1879,-0.0,0.1879,245.0,60.0,90.0
295,0.059000000000000004,-0.0,0.059000000000000004,245.0,60.0,90.0
296,0.0025,-0.0,0.0025,245.0,60.0,90.0
297,2.3729,1.9628,3.0795,245.0,60.0,50.40334887054425
298,1.6723,1.9544,2.5723,245.0,60.0,40.55224873910581
299,0.9487,1.5455,1.8135,245.0,60.0,31.54354384677859
300,0.6661,0.8202,1.0566,245.0,60.0,39.080707094996455
301,0.5661,0.23,0.611,245.0,60.0,67.888651316728
302,0.4266,-0.0,0.4266,245.0,60.0,90.0
303,0.2164,-0.0,0.2164,245.0,60.0,90.0
304,0.0529,-0.0,0.0529,245.0,60.0,90.0
305,-0.0,-0.0,0.0,245.0,60.0,-180.0
306,1.8176,2.6682,3.2284,245.0,60.0,34.263016067483676
307,1.248,2.5484,2.8376,245.0,60.0,26.091871472380237
308,0.7323,1.9719,2.1035,245.0,60.0,20.373371127963782
309,0.5291,1.0235,1.1522,245.0,60.0,27.33677716517201
310,0.4279,0.272,0.5071,245.0,60.0,57.55740836211688
311,0.2746,-0.0,0.2746,245.0,60.0,90.0
312,0.1024,-0.0,0.1024,245.0,60.0,90.0
313,0.0102,-0.0,0.0102,245.0,60.0,90.0
314,-0.0,-0.0,0.0,245.0,60.0,-180.0
315,1.921,2.4845,3.1406,245.0,60.0,37.71097328010306
316,0.8375,2.2662,2.416,245.0,60.0,20.282365657202057
317,0.3378,1.5313,1.5681,245.0,60.0,12.440034256702358
318,0.2017,0.726,0.7535,245.0,60.0,15.526553185344252
319,0.1513,0.1779,0.2335,245.0,60.0,40.380425844508146
320,0.0723,-0.0,0.0723,245.0,60.0,90.0
321,0.0034,-0.0,0.0034,245.0,60.0,90.0
322,-0.0,-0.0,0.0,245.0,60.0,-180.0
323,-0.0,-0.0,0.0,245.0,60.0,-180.0
324,2.5458,3.8101,4.5823,222.0,47.0,33.74971484569553
325,1.7652,3.3551,3.7911,222.0,47.0,27.749953156944372
326,1.069,2.3526,2.5839999999999996,222.0,47.0,24.43661471979577
327,0.3828,1.1845,1.2448,222.0,47.0,17.909501155260195
328,0.0092,0.3224,0.3226,222.0,47.0,1.6345476512051742
329,-0.0,-0.0,0.0,222.0,47.0,-180.0
330,-0.0,-0.0,0.0,222.0,47.0,-180.0
331,-0.0,-0.0,0.0,222.0,47.0,-180.0
332,-0.0,0.0016,0.0016,222.0,47.0,-0.0
333,-0.0,0.0076,0.0076,222.0,47.0,-0.0
334,4.0455,5.5438,6.8629999999999995,222.0,47.0,36.119504890673326
335,3.3109,5.3126,6.2599,222.0,47.0,31.93184166816958
336,2.1036,4.0037,4.5226,222.0,47.0,27.718064444304535
337,0.8321,2.1771,2.3307,222.0,47.0,20.917140434655263
338,0.0993,0.6775,0.6847,222.0,47.0,8.338372269891064
339,-0.0,0.0107,0.0107,222.0,47.0,-0.0
340,-0.0,-0.0,0.0,222.0,47.0,-180.0
341,-0.0,0.057999999999999996,0.057999999999999996,222.0,47.0,-0.0
342,-0.0,0.1072,0.1072,222.0,47.0,-0.0
343,-0.0,0.09,0.09,222.0,47.0,-0.0
344,5.0051,6.3938,8.1198,222.0,47.0,38.054024836719925
345,4.3695,6.216,7.5981,222.0,47.0,35.10507151633361
346,2.9239,4.8473,5.6608,222.0,47.0,31.098454707046127
347,1.2986,2.8009,3.0873,222.0,47.0,24.87416922044743
348,0.2596,0.995,1.0283,222.0,47.0,14.62274926473134
349,-0.0,0.0789,0.0789,222.0,47.0,-0.0
350,-0.0,-0.0,0.0,222.0,47.0,-180.0
351,-0.0,0.14400000000000002,0.14400000000000002,222.0,47.0,-0.0
352,-0.0,0.2766,0.2766,222.0,47.0,-0.0
353,-0.0,0.2221,0.2221,222.0,47.0,-0.0
354,5.5161,6.3487,8.4103,222.0,47.0,40.98590860970402
355,5.0667,6.2431,8.0404,222.0,47.0,39.06167776467159
356,3.6096,5.0188,6.182,222.0,47.0,35.72428306776037
357,1.8273,3.0823,3.5833,222.0,47.0,30.661010440497776
358,0.518,1.2563,1.3589,222.0,47.0,22.407426289822027
359,-0.0,0.1945,0.1945,222.0,47.0,-0.0
360,-0.0,-0.0,0.0,222.0,47.0,-180.0
361,-0.0,0.2119,0.2119,222.0,47.0,-0.0
362,-0.0,0.4273,0.4273,222.0,47.0,-0.0
