,lat_deg,lon_deg,depth_km,slp_strk_m,slp_ddip_m,slp_am_m,strike_deg,dip_deg,rake_deg,xx_stress,yy_stress,xy_stress,zz_stress,xz_stress,yz_stress,easting_utm48,northing_utm48
594,31.4746,104.1627,1.0893,0.5677,1.2633,1.385,222.0,33.0,24.198131004408282,0.0,0.0,0.0,0.0,0.0,0.0,420463.5890021189,3482504.922705377
595,31.4948,104.1364,3.2678,0.2321,1.2019,1.2241,222.0,33.0,10.929900032614826,25.847037102230754,35.3963383995675,3.1417271831750755,35.51388172351835,4.301922407130776,-4.413695621822198,417982.85269614065,3484763.23904172
596,31.515,104.1101,5.4464,0.0697,1.0293,1.0317,222.0,33.0,3.8739226208002457,30.350973622537193,37.070789771205675,1.0184392158306823,38.813758907589246,7.661354341665298,-4.909541150039661,415503.192854772,3487022.1756568467
597,31.5351,104.0838,7.6249,-0.0,0.795,0.795,222.0,33.0,-0.0,32.92611644453973,37.67776788887157,0.8680600897961709,45.18968208560962,11.161905792760217,-6.073197247352407,413024.51749594,3489270.6491025914
598,31.5553,104.0575,9.8035,-0.0,0.4625,0.4625,222.0,33.0,-0.0,33.90049553584085,38.09874879174506,1.4705557149939985,51.2128247668351,12.704137540294907,-5.864977768560933,410547.0100502961,3491530.8281048173
599,31.5755,104.0311,11.9821,-0.0,0.13699999999999998,0.13699999999999998,222.0,33.0,-0.0,34.378015183772014,38.631322462023135,1.8337711302464468,55.85676594184427,12.943255906790124,-5.051012874922137,408061.0918420591,3493791.7133130403
600,31.5956,104.0048,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,34.8959140408538,39.34291269100243,1.7914617130451989,58.90368816543986,12.563301008424487,-4.037776117901791,405585.6435566269,3496042.0553100887
601,31.6158,103.9784,16.3392,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.658774494483204,40.36051522671148,1.411644119998281,60.55915186036884,12.1528274271314,-3.285244253778924,403101.8881441718,3498304.1936349757
602,31.6359,103.95200000000001,18.5177,-0.0,-0.0,0.0,222.0,33.0,-180.0,36.557964664315726,41.49213979420692,0.9429021452022556,61.55540136457729,12.028487272929747,-3.084256552994251,400619.111246821,3500555.876212487
603,31.4479,104.1345,1.0893,0.7058,1.8124,1.945,222.0,33.0,21.27735065181082,0.0,0.0,0.0,0.0,0.0,0.0,417761.40203309216,3479566.310342501
604,31.4681,104.1082,3.2678,0.4218,1.9885,2.0328,222.0,33.0,11.97604888989487,25.235318309141487,33.01819461155819,1.839262075572016,33.26223503146693,6.506027711257435,-2.243689623353633,415280.50978687254,3481825.2579750535
605,31.4882,104.0819,5.4464,0.1827,1.7961,1.8054,222.0,33.0,5.808171794293309,30.640817235003425,37.06345375698781,0.3671685745153033,39.75656832800549,8.928310068376051,-4.7885995384949736,412800.6004947335,3484073.742085904
606,31.5084,104.0556,7.6249,0.0281,1.3684,1.3687,222.0,33.0,1.1763995589945375,33.55066716102202,38.254608649339545,0.38634014346875534,46.89406964763568,12.206515802570276,-6.7926489323676895,410321.85772577836,3486333.9312496874
607,31.5285,104.0293,9.8035,-0.0,0.7799,0.7799,222.0,33.0,-0.0,34.367379946985565,38.39009626040486,1.2044664388391528,53.847533385178224,13.573220992127855,-6.585032139985367,407844.09393550013,3488583.6580145718
608,31.5487,104.0029,11.9821,-0.0,0.2419,0.2419,222.0,33.0,-0.0,34.64724173508277,38.825567793966435,1.7272299509323312,58.55797361683834,13.439203246976335,-5.5197891746604695,405358.01138821087,3490845.1776750414
609,31.5688,103.9766,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.07250577570068,39.54671983168589,1.7582964600660946,61.38978899783035,12.720982608762668,-4.453181023227692,402882.3979996043,3493096.1519272276
610,31.589000000000002,103.9502,16.3392,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.83984772781977,40.50134035471871,1.4048214009084337,62.86517128845481,12.051486156580806,-3.703413840104922,400398.4767761378,3495358.9251179537
611,31.6091,103.9238,18.5177,0.0132,0.0007,0.0132,222.0,33.0,86.96443087494444,36.78728000454785,41.54982085017151,0.9418360706451648,63.681883712024316,11.76766304461492,-3.451194684379745,397915.5305521188,3497611.242768784
612,31.4211,104.1063,1.0893,0.6424,2.1729,2.2659,222.0,33.0,16.46988020528379,0.0,0.0,0.0,0.0,0.0,0.0,415057.6132949256,3476617.29429724
613,31.4413,104.08,3.2678,0.5481,2.1962,2.2635,222.0,33.0,14.012914818726527,25.852164598096994,32.95773082120153,0.7213803961673593,40.588101349162066,6.33377675383105,-3.6594896630310214,412576.56176031946,3478876.8728219364
614,31.4615,104.0537,5.4464,0.2829,1.9346,1.9552,222.0,33.0,8.319497554680716,31.11242175972184,37.59172792337176,-0.3517337429796523,41.98218684022723,9.050115479092064,-5.330226245328878,410096.58522034,3481137.0720364223
615,31.4816,104.0274,7.6249,0.0621,1.4367,1.4380000000000002,222.0,33.0,2.4750153266973154,33.89891373443449,39.067845091521114,-0.11552974075902844,49.47805763325381,12.59917931553814,-7.826013678862221,407617.5861364772,3483386.808501958
616,31.5018,104.0011,9.8035,-0.0,0.7886,0.7886,222.0,33.0,-0.0,34.62542362952179,39.0188877573594,0.8786502027249417,56.633157738400456,13.797155941640995,-7.8044107477251075,405139.75905836665,3485648.2509274418
617,31.5219,103.9748,11.9821,-0.0,0.2351,0.2351,222.0,33.0,-0.0,34.785798125509594,39.11345413258466,1.5489966058497242,61.402347534209916,13.476395600691585,-6.529748438494497,402662.9054597211,3487899.231721174
618,31.5421,103.9484,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.175144882298945,39.70588248219276,1.6604541510246449,63.96943710671313,12.510706917981313,-5.1872843472142485,400177.73785475176,3490162.011036089
619,31.5622,103.92200000000001,16.3392,-0.0,-0.0,0.0,222.0,33.0,-180.0,36.00889714219614,40.6036013101124,1.3496337022310445,65.080792486541,11.691928622670012,-4.30228449249708,397693.5437428277,3492414.334463719
620,31.5823,103.8957,18.5177,0.0303,-0.0,0.0303,222.0,33.0,90.0,37.034459628533824,41.59219251413752,0.912921234473264,65.61816769754,11.343988973887127,-3.958109733028748,395219.9164609689,3494667.1910601803
621,31.3944,104.0782,1.0893,0.8205,1.7492,1.9321,222.0,33.0,25.129938801052408,0.0,0.0,0.0,0.0,0.0,0.0,412361.9093395154,3473679.961565256
622,31.4145,104.0519,3.2678,0.6504,1.7897,1.9042,222.0,33.0,19.971795590757512,27.418025589228712,37.05189582274353,1.7561245690981138,38.2078404324713,4.606131815512521,-6.419304060586348,409880.6029699062,3475929.084490326
623,31.4347,104.0256,5.4464,0.2989,1.57,1.5982,222.0,33.0,10.779099161378513,32.45444555688437,38.466409707942546,0.025637414832639482,44.100936476766435,7.960442348109588,-7.420295610777456,407400.4637581694,3478189.912163138
624,31.4548,103.9993,7.6249,0.0593,1.1279,1.1295,222.0,33.0,3.0095880227951097,34.601057608610304,40.063449702771344,0.10338105541196076,50.5489489879275,11.926989461018126,-8.976190191294517,404921.2985037348,3480440.277295163
625,31.475,103.9729,9.8035,-0.0,0.574,0.574,222.0,33.0,-0.0,34.956584551633625,39.930837000523034,0.9367440054303816,58.01267714876182,13.421151640438694,-9.0919049635445,402433.8076249009,3482702.437510588
626,31.4951,103.9466,11.9821,-0.0,0.1466,0.1466,222.0,33.0,-0.0,34.937732755644035,39.67956308165596,1.5836879212364885,63.247900165734464,13.040423055036893,-7.750048941278328,399956.7883821531,3484954.0496921055
627,31.5153,103.9202,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.346182187720125,39.99847105614672,1.6813716007174788,65.87570175078169,11.955208028404787,-6.1643862179513205,397471.45441979554,3487217.4630045276
628,31.5354,103.8939,16.3392,0.0036,-0.0,0.0036,222.0,33.0,90.0,36.25696032234008,40.755006065087976,1.3493832689569096,66.81624110232771,11.122187828250961,-5.083394152548487,394996.5841014155,3489470.324763081
629,31.5555,103.8675,18.5177,0.0414,-0.0,0.0414,222.0,33.0,90.0,37.34260370229185,41.66529710768883,0.906407919704292,67.19523052577432,10.787737150078339,-4.607408250159041,392513.295315079,3491723.9092471804
630,31.3676,104.05,1.0893,0.632,1.2057,1.3613,222.0,33.0,27.662486757149047,0.0,0.0,0.0,0.0,0.0,0.0,409655.095944203,3470732.3003864675
631,31.3878,104.0237,3.2678,0.4741,1.2587,1.345,222.0,33.0,20.639307242775764,30.01698224543108,37.02442587132557,1.7958776893198172,37.14457785684937,4.053996681342777,-5.709097764408805,407173.7246106742,3472993.137459995
632,31.4079,103.9974,5.4464,0.1938,1.0692,1.0867,222.0,33.0,10.273719764269757,34.250723851276746,39.0085456324159,0.5728229873478284,41.84876912934423,9.201887716213324,-7.374842733629122,404693.3257144927,3475243.5116414772
633,31.4281,103.9711,7.6249,0.0246,0.7090000000000001,0.7094,222.0,33.0,1.9871805048398128,35.11380037002781,40.419842266690004,0.5541155367067303,50.700739394855844,12.498903360437643,-9.119905799576394,402214.09944581933,3477505.5914853853
634,31.4482,103.9448,9.8035,-0.0,0.3069,0.3069,222.0,33.0,-0.0,35.069156455402265,40.52824866040644,1.1179735940582876,58.519421218536266,13.330539587943823,-9.604200215198599,399735.84164640534,3479757.209557363
635,31.4683,103.9184,11.9821,-0.0,0.0496,0.0496,222.0,33.0,-0.0,35.06251549222757,40.198889407535646,1.7105794146274595,64.1736407051009,12.636004714637528,-8.586351544861872,397249.1537158243,3482009.544114351
636,31.4885,103.8921,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.564209406228365,40.33755187551614,1.76258019838104,66.98964563736287,11.38443274484766,-7.031419039667624,394773.1511596189,3484273.495143497
637,31.5086,103.8657,16.3392,0.0081,-0.0,0.0081,222.0,33.0,90.0,36.557731051151904,40.95985614075575,1.3929099825069753,67.9837004846713,10.509228744861607,-5.890422361506351,392288.6146820052,3486527.084328402
638,31.5287,103.8393,18.5177,0.0435,-0.0,0.0435,222.0,33.0,90.0,37.690836475135896,41.77648988917789,0.9377495525315116,68.33337420511397,10.17607694237325,-5.32692756468268,389805.1546561313,3488781.302897166
639,31.3409,104.0219,1.0893,0.2362,1.17,1.1936,222.0,33.0,11.413486890304256,0.0,0.0,0.0,0.0,0.0,0.0,406956.38112175686,3467796.315649315
640,31.361,103.9956,3.2678,0.22399999999999998,0.9809,1.0061,222.0,33.0,12.863581580733594,30.76678452126948,36.57953651842171,1.0341265319010375,32.482436839681824,7.116522494768642,-5.745775640537432,404474.7481482868,3470046.6964618783
641,31.3811,103.9693,5.4464,0.0842,0.6851,0.6903,222.0,33.0,7.006615535517157,34.08895888784928,38.988804828523996,-0.06834435414391449,43.03027890177577,11.009333526014744,-8.037397859972932,401994.1825449326,3472297.6984367943
642,31.4013,103.943,7.6249,-0.0,0.3703,0.3703,222.0,33.0,-0.0,34.65341116121641,40.18296787293556,0.4814398085625074,52.32923482022318,13.043527431741225,-9.345032785076468,399514.7915866301,3474560.4062811313
643,31.4214,103.9166,9.8035,-0.0,0.11199999999999999,0.11199999999999999,222.0,33.0,-0.0,34.80555029294792,40.70378793476274,1.1199795517855229,59.27314762101488,13.097903025351071,-9.793955113360212,397026.86045913503,3476812.7462673476
644,31.4415,103.8903,11.9821,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.02823288595539,40.52493054647996,1.7232980803901548,64.752862703106,12.158320524141065,-9.14631899484663,394549.5060160813,3479065.6179212565
645,31.4617,103.8639,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.74127649502489,40.62214505257706,1.802312426331188,67.63323038253071,10.774688110660033,-7.761969614462715,392063.835405389,3481330.295916198
646,31.4818,103.8376,16.3392,0.0071,-0.0,0.0071,222.0,33.0,90.0,36.86215280024592,41.16370948019242,1.452280491973494,68.65641477882899,9.875812779864583,-6.659184992517541,389588.6269498646,3483584.4179851436
647,31.5019,103.8112,18.5177,0.0332,-0.0,0.0332,222.0,33.0,90.0,38.07208693756142,41.90972431756657,1.0088239006085324,69.00112728541009,9.550832628430767,-6.05722370881665,387104.9930515493,3485839.267985305
648,31.3141,103.9937,1.0893,0.4743,0.9567,1.0678,222.0,33.0,26.370682523665504,0.0,0.0,0.0,0.0,0.0,0.0,404246.54866526404,3464850.005182844
649,31.3342,103.9675,3.2678,0.3091,0.7684,0.8282,222.0,33.0,21.91316964275088,30.193071869841344,37.268877223449785,0.4013029536459707,36.64717277921825,7.585131921701382,-5.094086850905844,401774.26493630913,3467100.926380898
650,31.3544,103.9412,5.4464,0.0894,0.4664,0.4749,222.0,33.0,10.850894586808549,33.66962591246932,39.65084021384544,-0.7287830255157778,44.757766653582756,11.732727676385524,-8.672554787015796,399293.63857855165,3469363.639811796
651,31.3745,103.9148,7.6249,-0.0,0.1993,0.1993,222.0,33.0,-0.0,34.23450750580365,40.05983076856393,0.15910460216205016,54.53655226658187,13.160261872385323,-9.987377466849145,396804.46581815096,3471615.9851109874
652,31.3946,103.8885,9.8035,-0.0,0.0322,0.0322,222.0,33.0,-0.0,34.577069856458266,40.45643729815837,0.9758836765038259,60.72414296905555,12.733216769008536,-10.019121399738683,394325.8730103596,3473868.8615758135
653,31.4147,103.8622,11.9821,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.03847249636627,40.584642807663386,1.666671379858926,65.36347220959995,11.526153959164414,-9.496591030995614,391848.34901324386,3476122.3613148956
654,31.4349,103.8358,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.98379507265499,40.7824801366679,1.8134689244126267,67.91749064254475,10.112559228054717,-8.346480291425943,389362.5081137578,3478387.669995411
655,31.455,103.8095,16.3392,0.0016,-0.0,0.0016,222.0,33.0,90.0,37.22812307619544,41.31187090960055,1.5213337197948669,68.89999685057725,9.251018482077628,-7.341037591560168,386887.12863459735,3480642.4205707847
656,31.4751,103.7831,18.5177,0.0192,-0.0,0.0192,222.0,33.0,90.0,38.517091653594605,42.02233058135741,1.1152969455420143,69.24978505986094,8.957921516229659,-6.736921915777756,384403.3202259958,3482897.901673507
657,31.2873,103.9656,1.0893,0.8716,0.8168,1.1945,222.0,33.0,46.8589829890515,0.0,0.0,0.0,0.0,0.0,0.0,401544.7246119982,3461904.28044454
658,31.3074,103.9393,3.2678,0.5339,0.7027,0.8826,222.0,33.0,37.22697720099234,28.81553749590497,38.77058360982855,0.1849061364743435,35.293216841827046,6.986841695525468,-5.95894201994277,399062.75977035135,3464155.9177296357
659,31.3276,103.913,5.4464,0.1637,0.462,0.4902,222.0,33.0,19.510712685164343,32.72804116259795,40.83938476513286,-1.094512087057424,46.555821519728184,10.416410139169821,-10.590794273802818,396581.9701695143,3466419.260593303
660,31.3477,103.8867,7.6249,-0.0,0.225,0.225,222.0,33.0,-0.0,33.55791817601296,40.7037422993781,-0.321641341247644,56.04629227952083,11.719616957017086,-11.901382140985644,394102.1405545899,3468672.141751596
661,31.3678,103.8604,9.8035,-0.0,0.0585,0.0585,222.0,33.0,-0.0,34.416712988750284,40.35794426738028,0.6424941101948248,61.99099930158314,11.488790766550713,-11.500396177117604,391623.3782883295,3470925.645761039
662,31.3879,103.8341,11.9821,-0.0,-0.0,0.0,222.0,33.0,-180.0,35.257303549353765,40.39072580047447,1.5246350311243544,65.93513909498431,10.57596598894877,-10.345097410478084,389145.6840977625,3473179.7732550753
663,31.4081,103.8077,14.1606,-0.0,-0.0,0.0,222.0,33.0,-180.0,36.35663987908217,40.74485473519234,1.7884772170083558,68.02026145753375,9.399627791457734,-9.014422438503058,386659.67226638517,3475445.712291335
664,31.4282,103.7814,16.3392,-0.0,0.0062,0.0062,222.0,33.0,-0.0,37.677201325933744,41.34527296054243,1.5855193367423932,68.84908468705892,8.653150331001138,-8.000509590398181,384184.1211236806,3477701.091045526
665,31.4483,103.755,18.5177,0.0063,0.0055,0.0084,222.0,33.0,48.87852450284771,39.0280743009817,42.070866254814725,1.2360929894944406,69.14874552122346,8.438403967661458,-7.378031290335497,381700.1375654632,3479957.20292216
666,31.2605,103.9375,1.0893,0.9438,0.8865,1.2949,222.0,33.0,46.79313568192715,0.0,0.0,0.0,0.0,0.0,0.0,398841.3972407504,3458959.224871319
667,31.2806,103.9112,3.2678,0.5987,0.8274,1.0213,222.0,33.0,35.88919723560946,28.97447721684465,36.77118678422771,0.36319041511744105,39.954983695355246,6.597844155322139,-4.377302712337851,396359.2645115051,3461211.4887378598
668,31.3008,103.885,5.4464,0.2064,0.6362,0.6689,222.0,33.0,17.974425288024932,32.05026427104177,41.45298313887237,-0.8746359771344887,45.42732239161029,9.348919727667589,-9.887059007679273,393887.8263703705,3463475.3621565555
669,31.3209,103.8586,7.6249,0.0042,0.4043,0.4044,222.0,33.0,0.5951857977410786,33.54170710124891,41.50334975959917,0.10243294268457316,54.22842677117913,9.942497984632787,-12.303835604573164,391398.31004847155,3465728.96655694
670,31.340999999999998,103.8323,9.8035,-0.0,0.2028,0.2028,222.0,33.0,-0.0,34.84013147029924,40.992921699816726,0.8375109895064947,60.45519310024758,10.17071622645852,-12.588004036888616,388919.37768313166,3467983.0977796777
671,31.3611,103.806,11.9821,-0.0,0.0806,0.0806,222.0,33.0,-0.0,35.744048012415135,40.54897314929792,1.5753306347463292,65.25504334485244,9.665813091276188,-11.455834315201807,386441.51265824225,3470237.852698643
672,31.3812,103.7796,14.1606,-0.0,0.0381,0.0381,222.0,33.0,-0.0,36.85056718704628,40.722184024844076,1.8289501382582352,67.59033908810477,8.705241298214974,-9.897514122429168,383955.20628917037,3472493.337432447
673,31.4013,103.7533,16.3392,-0.0,0.0304,0.0304,222.0,33.0,-0.0,38.207723296739545,41.316957743037136,1.6731148261314457,68.40766300894987,8.103112504750378,-8.737244617859853,381479.4801176497,3474749.3439543797
674,31.4214,103.7269,18.5177,0.0006,0.0205,0.0205,222.0,33.0,1.6764710468067514,39.61280694744047,42.058636568965994,1.3773010562218209,68.71274496152104,8.023296265755294,-8.027560531117956,378995.31803189573,3477006.0861916672
675,31.2337,103.9095,1.0893,0.5133,0.9721,1.0993,222.0,33.0,27.835491955279256,0.0,0.0,0.0,0.0,0.0,0.0,396146.09199431585,3456014.743406638
676,31.2539,103.8832,3.2678,0.4188,0.9753,1.0614,222.0,33.0,23.23899205865913,28.000905193484463,37.74433234156889,1.1811641691058818,37.88610338036118,3.5788271639464737,-5.898191069581947,393663.9008631521,3458278.7151444177
677,31.274,103.8569,5.4464,0.1759,0.8055,0.8245,222.0,33.0,12.318508803714542,32.02353599076947,40.85733157892199,-0.6583032627928926,44.25328886790656,7.196027282585058,-10.685119278732683,391182.66475290677,3460532.2250318145
678,31.2941,103.8306,7.6249,0.006999999999999999,0.5931,0.5932,222.0,33.0,0.6761959797275132,33.79636118472648,41.357143425380734,0.07532261805443723,52.79002941703988,8.871594114496846,-12.694634389251242,388702.49379083625,3462786.357555626
679,31.3142,103.8042,9.8035,-0.0,0.3874,0.3874,222.0,33.0,-0.0,35.09960001998893,41.21115790156868,0.8126481700841193,58.994612228136155,9.347621128005898,-13.130976766159149,386213.87258301344,3465041.2165854145
680,31.3343,103.7779,11.9821,-0.0,0.2179,0.2179,222.0,33.0,-0.0,36.15016520176208,40.781968753854756,1.5803901558601574,63.88157114868188,8.89054815550714,-12.354720232049804,383735.836081449,3467296.598599481
681,31.3544,103.7516,14.1606,-0.0,0.1152,0.1152,222.0,33.0,-0.0,37.39446706853336,40.788022237677175,1.9139925569293863,66.4590800166215,8.113436388762159,-10.811121449843593,381258.8669149589,3469552.6051561977
682,31.3745,103.7252,16.3392,-0.0,0.0682,0.0682,222.0,33.0,-0.0,38.8230534374374,41.31103978817136,1.8111265503260403,67.46798416343216,7.687263515867428,-9.499252748898632,378773.4556350562,3471809.3470650706
683,31.3946,103.6989,18.5177,0.002,0.0372,0.0373,222.0,33.0,3.077455399424377,40.26130974408822,42.04000092413303,1.5454948531540964,67.91677244275121,7.779432702079678,-8.674486179297958,376298.62531557586,3474066.6069171955
684,31.2069,103.8814,1.0893,0.0239,0.9856,0.9859,222.0,33.0,1.3891039144799957,0.0,0.0,0.0,0.0,0.0,0.0,393439.7648984941,3453071.020643152
685,31.226999999999997,103.8551,3.2678,0.1878,0.9605,0.9786,222.0,33.0,11.063083259000551,26.62713826123785,34.55000051320491,0.8278189743506921,37.64849149019217,3.6958852253880425,-4.90625085689195,390957.29249248805,3455324.5343643688
686,31.2472,103.8288,5.4464,0.0903,0.7783,0.7835,222.0,33.0,6.617987287987022,31.532683474560386,40.46621537893174,-0.18260214352302595,41.862890471872745,6.005241844962115,-9.936713299955503,388476.0013129728,3457589.7543104393
687,31.2673,103.8025,7.6249,-0.0,0.6247,0.6247,222.0,33.0,-0.0,33.90336248059558,41.516630020466884,0.34845197752867746,49.95282321861247,7.711740538398935,-13.004787925738187,385995.65970540245,3459844.5131720253
688,31.2874,103.7762,9.8035,-0.0,0.4627,0.4627,222.0,33.0,-0.0,35.29897738142579,41.43612055796519,1.057050591820852,56.42196072717877,8.205918659630496,-13.641836956421757,383516.38323689223,3462099.895519777
689,31.3075,103.7499,11.9821,-0.0,0.2848,0.2848,222.0,33.0,-0.0,36.69036404368353,41.07060123976853,1.7352968919171738,61.35682243811759,8.168000879732723,-13.026574701085556,381038.1726371861,3464355.9019892523
690,31.3276,103.7235,14.1606,0.0026,0.1502,0.1502,222.0,33.0,0.9917053937475334,38.02543901604727,40.95414092144523,2.070138332626005,64.54357378038358,7.790587557747633,-11.556526250346934,378551.51373045193,3466612.643445648
691,31.3477,103.6972,16.3392,0.009000000000000001,0.0768,0.0773,222.0,33.0,6.6838641080341175,39.47208679079442,41.363362441053575,1.973557953738986,66.04559829601911,7.551886913434384,-10.168306889033856,376075.4390411326,3468869.90237318
692,31.3677,103.6708,18.5177,0.013999999999999999,0.0376,0.0402,222.0,33.0,20.422333024723443,40.933000916527725,42.04657741123255,1.720360579563385,66.83499080956365,7.778265281447648,-9.264048549783274,373590.7875903193,3471116.8176682917
693,31.1801,103.8533,1.0893,-0.0,0.7819,0.7819,222.0,33.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,390731.93866083224,3450127.9638969605
694,31.2002,103.8271,3.2678,-0.0,0.6692,0.6692,222.0,33.0,-0.0,28.522935237714343,36.06923027488667,2.0231143943138816,36.04297235591753,0.9642901865587412,-8.143656168315472,388258.8239769292,3452382.002141165
695,31.2203,103.8008,5.4464,-0.0,0.5034,0.5034,222.0,33.0,-0.0,32.23970486048101,39.14306003938675,0.3320551063369309,39.13524022930236,4.521377018527887,-9.716240407352801,385777.2427251142,3454636.7615578724
696,31.2405,103.7745,7.6249,-0.0,0.4106,0.4106,222.0,33.0,-0.0,34.15983639018697,40.92982787588739,0.7786889598329213,46.46317931644167,7.172780879142247,-12.394548032628634,383296.84811746597,3456903.2281413684
697,31.2606,103.7481,9.8035,-0.0,0.3133,0.3133,222.0,33.0,-0.0,35.744946096404135,41.32874836625611,1.3782895414581424,52.95778357040643,7.908557619899567,-13.251227413800564,380807.8760445032,3459159.3423754615
698,31.2806,103.7218,11.9821,0.002,0.1875,0.1875,222.0,33.0,0.61113180443652,37.169135220153755,41.23136116600483,1.8610512225372569,58.4875710405881,8.1855974327176,-13.064498204480884,378329.3642663186,3461404.8910052995
699,31.3007,103.6955,14.1606,0.0086,0.0893,0.0897,222.0,33.0,5.5008823699044855,38.50774255021613,41.134084193857824,2.1416202894890595,62.401915254904566,7.882313126201937,-11.95417191809624,375852.04404823575,3463662.148796858
700,31.3208,103.6691,16.3392,0.017,0.0384,0.042,222.0,33.0,23.879371364344863,40.040728966759616,41.45479312969176,2.0696271851085046,64.45131185735643,7.6887913546073845,-10.68974216623802,373366.2747384923,3465920.1471106685
701,31.3409,103.6428,18.5177,0.0194,0.0172,0.0259,222.0,33.0,48.439869693746026,41.561564546307714,42.08645815287458,1.8518810006623048,65.63009503903531,8.002777110701873,-9.778303324180737,370891.0904207174,3468178.6590588507
